No.,Common name,Scientific name,Status,Last detection,Redetection probability,"Forest interior
(Primary forest)","Edge forest
(Secondary forest)",Coastal/Mangrove,Grassland,Parkland
96,Black-naped Monarch,Hypothymis azurea prophata,E / NBV,2004,0.089567661,1,1,1,,
140,Thick-billed Spiderhunter,Arachnothera crassirostris,E,2007,0.157918727,1,1,,,
132,Plain Sunbird,Anthreptes simplex simplex,E,1986,0.202833482,,1,,,
141,Yellow-eared Spiderhunter,Arachnothera chrysogenys chrysogenys,E,2014,0.232171944,1,1,,,
19,Blue-eared Barbet,Magalaima australis duvaucelii,E,1949,0.240577525,1,,,,
30,Banded Kingfisher,Lacedo pulchella,E,1949,0.240577525,1,,,,
111,Yellow-bellied Bulbul,Alophoxius phaeocephalus phaeocephalus,E,1949,0.240577525,1,,,,
130,Plain Flowerpecker,Dicaeum concolor borneanum,E,1949,0.256832067,1,,,,
87,Dark-throated Oriole ,Oriolus xanthonotus xanthonotus ,E,1941,0.259980059,1,1,,,
92,Scarlet Minivet,Pericrocotus flammeus xanthogaster,E,2014,0.290407023,1,,,,
127,Yellow-breasted Flowerpecker,Prionochilus maculatus maculatus,E,1969,0.327643348,1,1,,,
37,Black-bellied Malkoha,Phaenicophaeus diardi diardi,E,1955,0.382378473,1,1,,,
65,Green Imperial Pigeon,Ducula aenea polia,R / NBV,2020,0.38898634,1,1,1,,
89,Lesser Cuckooshrike,Coracina fimbriata culminata,E,1998,0.398998908,1,,,,
20,Brown Barbet,Calorhamphus fuliginosus,E,1982,0.405379468,1,,,,
76,Dusky Broadbill,Corydon sumatranus sumatranus,E,1923,0.40547619,1,,,,
79,Black-and-yellow Broadbill,Eurylaimus ochromalus ochromalus,E,1923,0.40547619,1,,,,
128,Yellow-vented Flowerpecker,Dicaeum chrysorrheum chrysorrheum,R / R(B),2010,0.40737043,1,1,,,
56,Malaysian Eared Nightjar,Eurostopodus temminckii,E,1989,0.410764859,1,1,,,
61,Cinnamon-headed Green Pigeon,Treron fulvicollis fulvicollis,E,1997,0.435010858,,,1,,
62,Little Green Pigeon,Treron olax olax,E / NBV,2005,0.449764861,1,1,,,
52,Barred Eagle Owl,Bubo sumatranus sumatranus,vR / NBV,2020,0.468052673,1,1,,,
83,Lesser Green Leafbird,Chloropsis cyanopogon cyanopogon,U / R(B),2020,0.472340556,1,1,,,
8,Checker-throated Woodpecker,Picus mentalis humii,E,1949,0.481155049,1,,,,
14,Buff-rumped Woodpecker,Meiglyptes tristis grammithora,E,1949,0.481155049,1,,,,
17,Grey-and-Buff Woodpecker,Hemicircus concretus sordidus,E,1949,0.481155049,1,,,,
48,Silver-rumped Needletail,Rhaphidura leucopygialis,E / NBV,1949,0.481155049,1,,,,
75,Garnet Pitta,Pitta granatina coccinea,E,1949,0.481155049,1,,,,
77,Black-and-red Broadbill,Cymbirhynchus macrorhynchos malaccensis,E,1949,0.481155049,,1,1,,
99,Large Woodshrike,Tephrodornis gularis fretensis,E,1949,0.481155049,1,1,,,
121,White-chested Babbler,Trichastoma rostratum rostratum,E,2007,0.49629397,1,1,1,,
106,Black-headed Bulbul,Pycnonotus atriceps atriceps,R / RB,2020,0.497966902,1,1,,,
80,Green Broadbill,Calyptomena viridis viridis,E / NBV,1941,0.519960118,1,,,,
142,Grey-breasted Spiderhunter,Arachnothera affinis modesta,E,1949,0.525908023,1,,,,
5,White-bellied Woodpecker,Dryocopus javensis javensis,E / NBV,2005,0.539340621,1,,1,,
134,Purple-naped Sunbird,Hypogramma hypogrammicum macularia,E,1969,0.543642904,1,,,,
45,Glossy Swiftlet ,Collocalia esculenta cyanoptila,R / R(B),2020,0.555694772,1,1,1,,1
91,Fiery Minivet,Pericrocotus igneus igneus,E,1970,0.557792829,1,,,,
44,Brown-backed Needletail,Hirundapus giganteus,E,1983,0.55821361,1,1,,,
50,Whiskered Treeswift,Hemiprocne comata,E / NBV,1965,0.562791689,1,1,,,
78,Banded Broadbill,Eurylaimus javanicus pallidus,E,1925,0.568131227,1,1,,,
31,Rufous-collared Kingfisher,Actenoides concretus concretus ,E,1949,0.581770764,1,,,,
98,Rufous-winged Philentoma,Philentoma pyrhoptera,E,1949,0.581771215,1,,,,
94,Bronzed Drongo,Dicrurus aeneus malayensis,E,1949,0.591563637,1,1,,,
113,Spectacled Bulbul,Pycnonotus erythropthalmos erythropthalmos,E,1949,0.591563637,1,1,,,
82,Greater Green Leafbird,Chloropsis sonnerati zosterops ,R / R(B),2020,0.650073158,1,1,,,
7,Crimson-winged Woodpecker,Picus puniceus continentis ,E,1970,0.652969355,1,1,,,
33,Plaintive Cuckoo,Cacomantis merulinus threnodes,U / RB,2020,0.676076084,1,1,1,,1
124,Moustached Babbler,Malacopteron magnirostre magnirostre,E,1994,0.678016844,1,,,,
1,Blue-breasted Quail,Coturnix chinensis chinensis,U / RB,2020,0.682352155,,,,1,
34,Rusty-breasted Cuckoo,Cacomantis sepulcralis sepulcralis,U / RB,2020,0.694618465,1,1,1,,
71,Crested Serpent Eagle,Spilornis cheela bassus,R / R(B),2020,0.694618465,1,1,1,,
41,Blue-rumped Parrot,Psittinus cyanurus cyanurus,R / R(B),2020,0.70207901,1,,,,
53,Buffy Fish Owl,Ketupa ketupa ketupa,R / RB,2020,0.710657905,,1,1,,1
29,Ruddy Kingfisher,Halcyon coromanda minor,E,1989,0.718838503,,,1,,
15,Buff-necked Woodpecker,Meiglyptes tukki tukki,E,1949,0.721732574,1,,,,
28,Rufous-backed Kingfisher,Ceyx erithacus rufidorsa,E,1949,0.721732574,1,,,,
107,Grey-bellied Bulbul,Pycnonotus cyaniventris cyaniventris,E,1949,0.721732574,1,1,,,
54,Spotted Wood Owl,Strix seloputo seloputo,R / RB,2020,0.722403203,,1,,,
68,Greater Painted-Snipe,Rostratula benghalensis benghalensis,R / RB,2020,0.722403203,,,,1,
85,Mangrove Whistler,Pachycephala grisola vandepolli,E / NBV,1970,0.723437203,,,1,,
24,Blue-eared Kingfisher,Alcedo meninting verreauxi,R / R(B),2020,0.728081936,1,1,1,,
112,Buff-vented Bulbul,Iole olivacea olivacea,E / NBV,1949,0.743374432,1,1,,,
35,Violet Cuckoo,Chrysococcyx xanthorhynchus xanthorhynchus,U / RB WV,2020,0.754084863,1,1,,,
