Scientific name,Common name,First record,Last record
Duttaphrynus melanostictus,Asian Toad,1881,2017
Fejervarya cancrivorus,Crab-eating Frog,1925,2017
Fejervarya limnocharis,Field Frog,1896,2017
Hylarana baramica,Golden-eared Rough-sided Frog,1895,2017
Hylarana erythraea,Green Paddy Frog,1895,2017
Hylarana labialis,Copper-cheeked Frog,1895,2017
Hylarana laterimaculata,Masked Rough-sided Frog,2005,2017
Ingerophrynus quadriporcatus,Four-ridged Toad,1954,2017
Kalophrynus limbooliati,Lim's Black-spotted Sticky Frog,1896,2017
Leptobrachium nigrops,Black-eyed Litter Frog,1910,2017
Limnonectes blythii,Malayan Giant Frog,1958,2017
Limnonectes malesianus,Malesian Frog,1881,2017
Limnonectes paramacrodon,Masked Swamp Frog,1955,2017
Limnonectes plicatellus,Rhinoceros Frog,1900,2017
Megophrys nasuta,Malayan Horned Frog,1881,2017
Microhyla butleri,Painted Chorus Frog,1953,2017
Microhyla heymonsi,Dark-sided Chorus Frog,1945,2017
Microhyla mantheyi,Manthey's Chorus Frog,1996,2017
Nyctixalus pictus,Cinnamon Bush Frog,1896,2017
Occidozyga sumatrana,Yellow-bellied Puddle Frog,1927,2017
Pelophryne signata,Saint Andrew's Cross Toadlet,1895,2017
Polypedates leucomystax,Four-lined Tree Frog,1845,2017
Rhacophorus cyanopunctatus,Blue-spotted Bush Frog,1959,2017
Theloderma horridum,Thorny Bush Frog,1996,2017
Ichthyophis paucisulcus,Sumatran Striped Caecilian,1847,2017
