Scientific name,First record,Last record
"Lipotriches (Rhopalomelissa) ceratina (Smith, 1857)",1854,2022
"Nomia (Maculonomia) apicalis Smith, 1857",1854,1976
"Megachile (Aethomegachile) conjuncta Smith, 1853",1854,2020
"Xylocopa (Maiella) aestuans (Linnaeus, 1758)",1854,2022
"Xylocopa (Cyaneoderes) caerulea (Fabricius, 1804)",1854,2022
"Xylocopa (Platynopoda) latipes (Drury, 1773)",1854,2022
"Geniotrigona thoracica (Smith, 1857)",1854,1976
"Homotrigona (Homotrigona) fimbriata (Smith, 1857)",1854,1854
"Tetragonula (Tetragonula) laeviceps (Smith, 1857)",1854,2022
"Ceratina (Lioceratina) ridleyi Cockerell, 1910",1895,2019
"Amegilla (Glossamegilla) insularis (Smith, 1857)",1897,2021
"Sphecodes duplex Blüthgen, 1927",1898,2015
"Xylocopa (Cyaneoderes) insularis Smith, 1857",1898,2022
"Xylocopa (Nyctomelitta) myops Ritsema, 1876",1901,2019
"Thyreus abdominalis (Friese, 1905)",1901,2015
"Thyreus lilacinus (Cockerell, 1919)",1902,2022
"Lasioglossum (Hemihalictus) plasunicum (Blüthgen, 1926)",1903,1903
"Braunsapis cupulifera (Vachal, 1895[""1894""])",1905,2022
"Apis (Megapis) dorsata Fabricius, 1793",1905,2021
"Homotrigona (Tetrigona) apicalis (Smith, 1857)",1907,2022
"Thyreus himalayensis (Radoszkowski, 1893)",1908,2022
"Nomia (Acunomia) strigata (Fabricius, 1793)",1910,2022
"Nomia (Maculonomia) elegans Smith, 1857",1911,1911
"Heterotrigona (Heterotrigona) itama (Cockerell, 1918)",1911,2022
"Homotrigona (Lophotrigona) canifrons (Smith, 1857)",1911,1911
"Megachile (Eutricharaea) subrixator Cockerell, 1915",1915,2022
"Megachile (Aethomegachile) laticeps Smith, 1853",1917,2022
"Megachile (Aethomegachile) ramera Cockerell, 1918",1917,2020
"Lipotriches (Austronomia) goniognatha (Cockerell, 1919)",1918,2009
"Lipotriches (Austronomia) takauensis (Friese, 1910)",1918,2018
"Nomia (Acunomia) iridescens Smith, 1857",1918,2022
"Lasioglossum (Ctenonomia) semirussatum (Cockerell, 1920)",1918,1976
"Lasioglossum (Homalictus) singapurellum (Blüthgen, 1926)",1918,2021
"Patellapis (Pachyhalictus) murbanus (Blüthgen, 1931)",1918,2021
"Ceratina (Ceratinidia) collusor Cockerell, 1919",1918,2021
"Ceratina (Ceratinidia) nigrolateralis Cockerell, 1916",1918,2022
"Ceratina (Catoceratina) perforatrix Smith, 1879",1918,2022
"Amegilla (Zonamegilla) andrewsi (Cockerell, 1910)",1918,2022
"Thyreus novaehollandiae (Lepeletier, 1841)",1918,1932
"Tetragonula (Tetragonula) geissleri (Cockerell, 1918)",1918,2019
"Tetragonula (Tetragonula) valdezi (Cockerell, 1918)",1918,2022
Megachile (Aethomegachile) sp. 2. fusciventris group ,1918,2021
"Apis (Micrapis) andreniformis Smith, 1857",1919,2022
"Apis (Apis) cerana Fabricius, 1793",1919,2022
"Xylocopa (Zonohirsuta) dejeanii Lepeletier, 1841",1929,2014
"Xylocopa (Biluna) iridipennis Lepeletier, 1841",1929,2020
"Braunsapis philippinensis (Ashmead, 1904)",1929,2015
"Heterotrigona (Sundatrigona) moorei (Schwarz, 1937)",1932,1932
"Nomia (Maculonomia) fuscipennis Smith, 1875",1947,2021
"Megachile (Callomegachile)_sensu_lato tuberculata Smith, 1857",1961,2020
"Ceratina (Ceratinidia) accusator Cockerell, 1919",1962,2022
"Ceratina (Ceratinidia) lieftincki van der Vecht, 1952",1962,2022
"Ceratina (Pithitis) unimaculata Smith, 1879",1962,2020
"Braunsapis hewitti (Cameron, 1908)",1962,2022
"Tetragonula (Tetragonula) fuscobalteata (Cameron, 1908)",1962,2018
"Lipotriches (Rhopalomelissa) minutula (Friese, 1909)",1965,1965
"Tetragonula (Tetragonilla) atripes (Smith, 1857)",1965,1965
"Ceratina (Ceratinidia) cognata Smith, 1879",1967,2020
"Euaspis polynesia Vachal, 1903",1968,2022
"Heriades (Michenerella) othonis Friese, 1914",1970,2022
"Coelioxys (Callosarissa) confusus Smith, 1875",1970,2022
"Ceratina (Pithitis) smaragdula (Fabricius, 1787)",1970,2020
"Nomada polyodonta Cockerell, 1920",1970,1970
"Lasioglossum (Ctenonomia) vagans (Smith, 1857)",1972,2022
"Xylocopa (Maiella) flavonigrescens Smith, 1854",1972,2022
"Ceratina (Neoceratina) dentipes Friese, 1914",1972,2021
"Amegilla (Zonamegilla) korotonensis (Cockerell, 1911)",1972,2022
Lithurgus sp. 2 cf. collaris Smith [larger] ,1974,2021
"Nomia (Gnathonomia) thoracica Smith, 1875",1975,2022
"Lasioglossum (Homalictus) adonidiae (Cockerell, 1919)",1975,2021
"Patellapis (Pachyhalictus) intricata (Vachal, 1895[""1894""])",1975,1976
"Coelioxys (Allocoelioxys) angulatus Smith, 1870",1975,2019
"Nomada penangensis Cockerell, 1920",1975,1976
"Nomada sandacana Cockerell, 1920",1975,1975
"Hylaeus (Nesoprosopis) penangensis (Cockerell, 1920)",1976,2021
"Lasioglossum (Ctenonomia) deliense (Strand, 1910)",1976,2022
"Megachile (Creightonella) atrata Smith, 1853",1976,2017
"Megachile (Callomegachile) fulvipennis Smith, 1879",1976,2021
"Megachile (Anodonteutricharaea) tricincta Bingham, 1897",1976,2021
"Nomada malayana Cameron, 1909",1976,2014
Sphecodes sp. 4 ,1976,2022
"Lasioglossum (Ctenonomia) sp. 1 [nr. vagans, larger, orange not white hair, denser T2 punctures] ",1976,2021
Lithurgus sp. 1 [smaller] ,1976,2022
Hylaeus (Nesoprosopis) sp. 2 [aff. transversalis][pronotal marks smaller; tegulae black with small yellow spot; propodeum reticulate; mangrove associated] ,1977,2022
"Lasioglossum (Homalictus) latitarse (Friese, 1909)",1978,2013
"Hylaeus (Indialaeus) sp. [large, pronotum with unbroken yellow] ",1978,2015
"Nomia (Hoplonomia) incerta Gribodo, 1894",1980,2022
Megachile (Eutricharaea) sp. 1 [white scopa/crenulate T6],1986,2021
Nomia (Maculonomia) sp. 1 aff. apicalis [finer punctures; male with spine; smaller] ,2008,2022
"Eupetersia (Nesoeupetersia) malayensis (Blüthgen, 1927)",2009,2016
"Ceratina (Xanthoceratina) fuliginosa Cockerell, 1916",2011,2021
"Nomia (Acunomia) lusoria Cockerell, 1919",2012,2022
"Eupetersia (Nesoeupetersia) yanegai Pauly, 2012",2012,2013
"Lasioglossum (Ctenonomia) albescens (Smith, 1853)",2012,2022
"Megachile (Aethomegachile) borneana Cameron, 1903",2012,2015
"Megachile (Carinula) butteli Friese, 1918",2012,2021
"Megachile (Chelostomoda) moera Cameron, 1902",2012,2022
"Megachile (Carinula) stulta Bingham, 1897",2012,2018
"Ceratina (Xanthoceratina) metaria Cockerell, 1920",2012,2022
"Braunsapis clarihirta Reyes, 1991",2012,2022
Megachile (Aethomegachile) sp. 1 nr. borneana ,2012,2022
"Hylaeus (Gephyrohylaeus) sandacanensis (Cockerell, 1919)",2013,2015
"Hylaeus (Nesoprosopis) transversalis Cockerell, 1924",2013,2016
"Ceylalictus (Ceylalictus) malayensis (Blüthgen, 1934)",2013,2013
"Lasioglossum (Ctenonomia) halictoides (Smith, 1858)",2013,2021
"Braunsapis breviceps (Cockerell, 1920)",2013,2013
"Braunsapis puangensis (Cockerell, 1929)",2013,2022
Hylaeus (new subgenus nr. Prosopisteron) sp. 1 aff. jacobsoni,2013,2016
"Lasioglossum (Ctenonomia) sp. 3 [nr. vagans, larger, propodeal triangle more reticulate] ",2013,2014
Euaspis n. sp. 1 ,2013,2014
"Anthidiellum (Pycnanthidium) smithii (Ritsema, 1874)",2014,2022
"Megachile (Callomegachile) indonesica (Engel and Schwarz, 2011)",2014,2020
"Megachile (Callomegachile)_sensu_lato ornata Smith, 1853",2014,2014
Hylaeus (Nesoprosopis) sp. 1 [nr. borneensis; T2 more densely punctate/hirsute; propodeum more reticulate less striate],2014,2017
Sphecodes sp. 2 ,2014,2018
Sphecodes sp. 3 ,2014,2014
Sphecodes sp. 5 ,2014,2015
Megachile (Callomegachile) sp. biroi group ,2014,2014
"Hylaeus (Nesoprosopis) borneensis (Cockerell, 1920)",2015,2021
"Ceylalictus (Ceylalictus) communis (Blüthgen, 1934)",2015,2019
"Lepidotrigona terminata (Smith, 1878)",2015,2022
Coelioxys (Allocoelioxys) sp. 2 ,2015,2015
Coelioxys (Torridapis) n. sp. ,2015,2015
Lasioglossum (Ctenonomia) sp. 2 [T1 smooth] ,2016,2019
Hylaeus (Indialaeus) cf. strenuus ,2017,2017
Sphecodes sp. 6 ,2017,2018
Coelioxys (Allocoelioxys) sp. 3,2018,2022
Megachile (Aethomegachile) sp. 3 [nr borneana with dark hairs] ,2021,2021
"Nomada adusta Smith, 1875",2022,2022
