Scientific name,First record,Last record
Irmengardia johnsoni,1985,2022
Parathelphusa maculata,1895,2022
Geosesarma nemesis,1967,2022
Geosesarma peraccae,1903,2022
Parathelphusa reticulata,1990,2022
Johora singaporensis,1933,2022
Caridina temasek,1990,2022
Caridina gracilirostris,1959,2022
Caridina propinqua,1991,2022
Caridina peninsularis,1959,2022
Caridina johnsoni,1959,2022
Caridina bruneiana,1958,1961
Caridina sumatrensis,1958,1990
Caridina malayensis,1997,2022
Caridina gracilipes,1992,1992
Potamalpheops amnicus,1994,2022
Macrobrachium rosenbergii,1887,1985
Macrobrachium idae,1984,1997
Macrobrachium neglectum,1984,1997
Macrobrachium scabriculum,1961,1961
Macrobrachium sundaicum,1961,2022
Macrobrachium platycheles,1956,2022
Macrobrachium malayanum,1961,2022
