Common name,Scientific name,First record,Last record,Forest-dependent,Habitat,Notes
Oriental Climbing Perch,Anabas testudineus,1895,2017,FALSE,Non-forest,
Estuarine Catfish,Mystus gulio,1963,2017,FALSE,Non-forest,
Common Snakehead/Aruan,Channa striata,1859,2017,FALSE,Non-forest,
Common Walking Catfish,Clarias batrachus,1859,2017,FALSE,Non-forest,
Signal barb,Labiobarbus festivus,1887,1934,FALSE,Forest edge / riverine,
Marbled Gudgeon/Soon Hock,Oxyeleotris marmorata,1937,2017,FALSE,Non-forest,
,Eugnathogobius siamensis,1937,2017,FALSE,Forest edge,
Big-mouthed Stream-goby ,Pseudogobiopsis oligactis,1939,2017,FALSE,Forest edge,
Crescent Betta,Betta imbellis,1929,2017,FALSE,Forest edge,
Threespot Gouramy,Trichopodus trichopterus,1897,2017,FALSE,Forest edge / open areas,
Croaking Gouramy,Trichopsis vittata,1912,2017,FALSE,Forest edge / open areas,
Oriental Swamp Eel,Monopterus javanensis,1894,2017,FALSE,Non-forest,Updated to Monopterus javanensis
Malayan Pygmy Halfbeak,Dermogenys collettei,1901,2017,FALSE,Non-forest,
Singapore Little Warty Catfish,Parakysis longirostris,1955,2017,TRUE,Forest,
Dwarf Bumblebee Catfish,Pseudomystus leiacanthus,1956,2017,TRUE,Forest,
Dwarf Snakehead,Channa gachua,1861,2017,TRUE,Forest,
Forest Snakehead ,Channa lucius,1929,2017,TRUE,Forest,
Black Snakehead,Channa melasoma,1963,2017,TRUE,Forest,
Forest Walking Catfish ,Clarias leiacanthus,1990,2017,TRUE,Forest,
Blackskin catfish,Clarias meladerma,1934,1934,TRUE,Forest,
Slender Walking Catfish,Clarias nieuhofii,2002,2017,TRUE,Forest,
Spotted Eel-loach,Pangio muraeniformis,1912,2017,TRUE,Forest,
Malayan Banded Eel-loach,Pangio semicincta,1882,1963,TRUE,Forest edge,
Saddle Barb,Barbodes sellifer,1937,2017,TRUE,Forest,Upated to Barbodes sellifer
Bigspot Barb,Barbodes dunckeri,1913,1937,TRUE,Forest edge,
Spanner Barb,Barbodes lateristriga,1860,2017,TRUE,Forest,
Pygmy Rasbora/Dwarf Rasbora,Boraras maculatus,1950,2017,TRUE,Forest,
Barbel-less Chemperas,Cyclocheilichthys apogon,1934,2017,TRUE,Forest,
Six-banded Tiger Barb,Desmopuntius hexazona,1937,2017,TRUE,Forest,
,Osteochilus spilurus,1887,1937,TRUE,Forest edge / blackwater,
,Rasbora cephalotaenia,1934,1934,TRUE,Forest edge,
Einthoven’s Rasbora,Rasbora einthovenii,1859,2017,TRUE,Forest edge,
Two-spot Rasbora,Rasbora elegans,1909,2017,TRUE,Forest,
Silver-lined Rasbora,Rasbora paucisqualis,1934,1963,TRUE,Forest edge,
Harlequin Rasbora,Trigonostigma heteromorpha,1904,2017,TRUE,Forest,
Buff-backed Spiny-eel,Macrognathus maculatus,1934,2017,TRUE,Forest,
Sunda Leaf-fish,Nandus nebulosus,1860,2017,TRUE,Forest,
Malayan Grey-banded Loach,Nemacheilus selangoricus,1934,2017,TRUE,Forest,
Malay combtail,Belontia hasselti,1934,1966,TRUE,Forest,
Malayan Forest Betta ,Betta pugnax,1901,2017,TRUE,Forest,
,Betta tomi,1937,1937,TRUE,Forest,
Malayan Pikehead,Luciocephalus pulcher,1882,2017,TRUE,Forest,
,Ompok fumidus,1937,1937,TRUE,Forest,
Hasselt’s Leaf Catfish,Silurichthys hasseltii,1901,2017,TRUE,Forest,
,Glyptothorax callopterus,1937,1963,TRUE,Forest edge,
Malayan Forest Halfbeak,Hemirhamphodon pogonognathus,1927,2017,TRUE,Forest,
