Common name,Scientific name,First record,Last record
Leopard,Panthera pardus,1895,1924
Tiger,Panthera tigris,1831,1930
Red Barking Deer,Muntiacus muntjak,1924,1940
Three-striped Ground Squirrel,Lariscus insignis,1911,1974
Red Spiny Rat,Maxomys surifer,1911,1990
Red Giant Flying Squirrel,Petaurista petaurista,1846,1990
Oriental Small-clawed Otter,Aonyx cinerea,1843,2016
Cream-coloured Giant Squirrel,Ratufa affinis,1821,1997
"Small-toothed Palm Civet/Three-striped Palm Civet	",Arctogalidia trivirgata,1843,2016
Plantain Squirrel,Callosciurus notatus,1846,2016
Malayan Shrew,Crocidura malayana,1973,2016
Malayan Colugo,Galeopterus variegatus,1846,2016
Red-cheeked Flying Squirrel,Hylopetes spadiceus,1821,2016
Malayan Porcupine,Hystrix brachyura,1895,2016
Horsfield’s Flying Squirrel,Iomys horsfieldii,1925,2016
Smooth Otter,Lutrogale perspicillata,1938,2016
Common Long-tailed Macaque/Crab-eating Macaque,Macaca fascicularis,1895,2016
Sunda Pangolin,Manis javanica,1899,2016
Brown Spiny Rat,Maxomys rajah,1960,2016
Greater/Sunda Slow Loris,Nycticebus coucang,1843,2016
Common Palm Civet,Paradoxurus hermaphroditus,1843,2016
Banded Leaf Monkey ,Presbytis femoralis,1821,2016
Leopard Cat,Prionailurus bengalensis,1895,2016
Annandale’s Rat,Rattus annandalei,1908,2016
Malaysian Field Rat/Malaysian wood rat ,Rattus tiomanicus jalorensis,1961,2016
Shrew-faced Squirrel,Rhinosciurus laticaudatus,1843,2016
Sambar,Rusa unicolor,1856,2016
Slender Squirrel,Sundasciurus tenuis,1824,2016
Wild Pig,Sus scrofa,1846,2016
Lesser Mousedeer,Tragulus kanchil,1846,2016
Greater Mousedeer,Tragulus napu,1891,2016
Common Malayan Treeshrew,Tupaia glis,1821,2016
