Scientific name,First record,Last record
Acacus sarawacus,1994,2017
Asceles larunda,1994,2017
Asceles malaccae,1993,2017
Asceles tanarata singapura,1993,2017
Baculofractum insignie,1997,2017
Calvisia (Calvisia) sangarius,1897,1897
Calvisia (Conocalvisia) virbius,2016,2017
Carausius nodosus,1908,2017
Chlorobistus xiuyuae,1993,2017
Diacanthoidea diacanthos,1855,2017
Diardia battak,2009,2017
Diesbachia tamyris,1993,2017
Gargantuoidea triumphalis,1901,2017
Haaniella macroptera,2005,2017
Kerabistus (Kerabistus) murphyi,1973,2017
Lobonecroscia subflava,1993,2017
Lonchodes brevipes,1877,2017
Lopaphus brachypterus,1994,2017
Lopaphus iolas,1994,2017
Marmessoidea rosea,1854,1855
Necroscia confusa,1871,2017
Necroscia connexa,1855,2017
Necroscia punctata,1894,2017
Necroscia siremps,1992,2017
Necroscia westwoodi,1897,2017
Orestes mouhotii,1994,2017
Phaenopharos struthioneus,1844,2017
Phobaeticus serratipes,1838,2017
Phyllium (Phyllium) chrisangi,1976,2017
Phyllium (Phyllium) hausleithneri,1994,2017
Phyllium (Pulchriphyllium) bioculatum,1897,2017
Planispectrum bengalensis,1894,2017
Planososibia esacus,1830,2017
Planososibia lysippus,1993,2017
Planososibia tommykohi,1993,2017
Presbistus flavicornis,1906,1906
Presbistus peleus,1894,2017
Pseudobactricia ridleyi,1904,1904
Pylaemenes mitratus,1893,2017
Ramulus nematodes,1859,2017
Singaporoidea meneptolemus,1859,2017
Sipyloidea sipylus,1904,2017
Staelonchodes geniculatus,1993,2017
Stheneboea malaya,1990,2017
Trachythorax maculicollis,2016,2017
